Bankrupt?, ROA(C) before interest and depreciation before interest, Net Value Per Share (B), Persistent EPS in the Last Four Seasons, Debt ratio %, Borrowing dependency, Working Capital to Total Assets, Current Liability to Assets, Current Liabilities/Equity, Retained Earnings to Total Assets, Current Liability to Current Assets, Net Income to Stockholder's Equity
1,0.464290937454297,0.182251064009102,0.2089439349532,0.171176346101521,0.376760019951553,0.751110917003808,0.0569628274180797,0.329740147869877,0.931065217577487,0.0477752815903248,0.839969268005573
1,0.465022181055916,0.167502422991024,0.212536636097192,0.106509054630105,0.375025442703033,0.751822452472965,0.110194845896651,0.33072631939891,0.91385019745186,0.0477253717624306,0.839972745788203
0,0.508360551845171,0.176983692216931,0.22520563486811,0.108202073948665,0.374219104729994,0.797005213929915,0.0870418011288855,0.329803725937385,0.935449309245632,0.0302011045942807,0.841459439726482
0,0.48851947545459,0.184189456828621,0.218398411647915,0.058590561417299,0.370253398138601,0.813737522948239,0.0580597284096259,0.328092755880752,0.935200209287994,0.021710461445184,0.840486633095349
0,0.495685662750451,0.177447220934642,0.217831143046232,0.121292741179672,0.374508760118367,0.825695870708439,0.0945633028255581,0.330409487644987,0.938289896761562,0.0254943019553504,0.840688177069564
0,0.482474528347877,0.1829252875985,0.218965680249598,0.103576503310457,0.374179962109944,0.75120434292108,0.0320868027606662,0.327484654084158,0.942828956208544,0.0471663480130232,0.841337129150271
0,0.444401111490274,0.173865408115966,0.204689420440579,0.0943858270097046,0.373113046123427,0.769113889446861,0.0479948129460321,0.328042000740244,0.93295521516369,0.0337116016801524,0.840649731622796
0,0.491151952420416,0.169398676836206,0.219343859317387,0.144662454273362,0.377306898271686,0.760000221809245,0.0956718995297444,0.331114214993752,0.930139634781563,0.0435139896178212,0.840702415877267
0,0.474040852142544,0.171547764527411,0.212914815164981,0.106569519605768,0.373151070382904,0.791909626507644,0.0691661659638453,0.329035251137398,0.930763202677411,0.0289016723593667,0.839910496767797
0,0.506703066348169,0.180565505035607,0.226434716838423,0.0896393264201711,0.373692356900173,0.802390919116921,0.027638023218934,0.327227478764221,0.94025165752662,0.0155531326728028,0.841623679912454
0,0.513820504070589,0.174328936833677,0.223787463363903,0.0990718626235753,0.373544733304554,0.7919906610319,0.0533853563563156,0.328300316444762,0.933540910463702,0.0258128487067077,0.841399049949549
0,0.48890947204212,0.183852345033922,0.220194762219911,0.0612812528342957,0.372267565530338,0.752032218453819,0.0387616550386571,0.327470954255664,0.942018218547371,0.0462912301964762,0.840888957443775
0,0.535952810412909,0.189541106569466,0.233052850524723,0.0787253983130272,0.372724975004641,0.816363501604604,0.0446373780123085,0.327786671384638,0.948858906532939,0.0181566375652698,0.841983321753659
0,0.504070589382343,0.175129577346087,0.220005672686017,0.141336880611906,0.378709322430063,0.766580251219532,0.0874131414741735,0.330593494077527,0.935009281984505,0.0400836626660674,0.840954675675957
0,0.487398235265441,0.176478024524883,0.217452963978444,0.0774858663119388,0.371230845279288,0.809073201243094,0.0547715959620629,0.328140542219584,0.933563970913442,0.0219368610613265,0.840455976086351
0,0.485253254034027,0.189119716826092,0.219343859317387,0.0963509387187471,0.36963718146295,0.789153248025469,0.0125482805799749,0.326672008418766,0.939765139730377,0.0109407284049022,0.840638613018106
0,0.504558085116755,0.185453626058742,0.225394724402004,0.100734649454304,0.371209596428404,0.847345861558187,0.0685261041035546,0.328924458893678,0.937920804869362,0.0186129431781689,0.841311469523341
0,0.512016769853264,0.176983692216931,0.22322019476222,0.146506636031079,0.377012769441021,0.764144883469675,0.0776394903553029,0.33023501800171,0.936223801831732,0.0403947838257492,0.841234473750761
0,0.49485692000195,0.184400151700308,0.218965680249598,0.19303443480364,0.38727596441824,0.734030366532548,0.148790999132943,0.337398695626466,0.93856123349435,0.0552426750998399,0.840325896066444
0,0.509969287768732,0.172896211706207,0.22189656802496,0.19451582670738,0.388057698458675,0.745811316274545,0.147142954808218,0.337432936145491,0.933883562062243,0.0501706511809911,0.84104674505462
0,0.444986106371569,0.161307993763432,0.203554883237213,0.14674849593373,0.377159274676067,0.752991982324317,0.0446516334281012,0.328518642443675,0.923742746015952,0.0455039195364612,0.837925614007031
0,0.519280456296007,0.179217057856812,0.224260187198639,0.092057925446685,0.37216691307878,0.746912099549146,0.0660732030729706,0.328713957177203,0.942045500965593,0.0514813759696364,0.841187894768005
0,0.547408960171598,0.182630314778138,0.228420156944313,0.0360975904707198,0.369875392264971,0.839002274859763,0.0383733508227971,0.327333227352661,0.943096297038018,0.0133933066151283,0.841854181631694
0,0.500853117535222,0.177952888626691,0.2205729412877,0.0895788614445083,0.371971199978527,0.819444466447688,0.049464084101822,0.328054100588709,0.93768584755713,0.018802183379403,0.8411159928915
0,0.505874323599668,0.177025831191269,0.225394724402004,0.116848565468452,0.375580149547176,0.785427201109879,0.0880275110524175,0.330020694282541,0.937473539811651,0.0334418320781055,0.841431597677494
0,0.486374494223176,0.185875015802115,0.218209322114021,0.0623393899083955,0.370535225002964,0.79989075144347,0.0629852318661099,0.32828850844728,0.937101764402904,0.0256903594101168,0.840451101401298
0,0.494369424267538,0.174033964013316,0.218682045948757,0.124104362547994,0.375313979730833,0.826180808370658,0.107973141077189,0.331087957780501,0.934730336547086,0.0270097755019044,0.840608631798272
0,0.475162092331692,0.180186254266571,0.213576628533611,0.122622970644254,0.376271296381209,0.753131106606647,0.0268249264151524,0.327391339331141,0.93823378870164,0.0435699727474226,0.841252149001051
